City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
398,Pangnirtung,CA,66.1451,-65.7125,-7.38,96,100,1.88,overcast clouds
399,Ardmore,US,34.1743,-97.1436,59.86,38,0,8.05,clear sky
400,Henties Bay,NA,-22.116,14.2845,64.58,88,99,7.7,overcast clouds
401,Changji,CN,44.0167,87.3167,3.99,92,75,2.24,mist
402,Rongcheng,CN,30.634,117.8517,38.37,87,0,2.35,clear sky
403,Aasiaat,GL,68.7098,-52.8699,-17.03,94,85,13.09,overcast clouds
404,Hasaki,JP,35.7333,140.8333,32.22,49,100,10.54,overcast clouds
405,Robertsport,LR,6.7533,-11.3686,80.58,74,3,10.36,clear sky
406,Namibe,AO,-15.1961,12.1522,78.01,76,100,3.2,overcast clouds
407,Kahului,US,20.8947,-156.47,78.84,75,40,10.36,scattered clouds
408,Almeirim,BR,-1.5233,-52.5817,87.89,53,97,4.27,overcast clouds
409,Namwala,ZM,-15.7504,26.4384,64.67,97,100,1.57,overcast clouds
410,Bonthe,SL,7.5264,-12.505,78.55,73,1,8.14,clear sky
411,Goderich,CA,43.7501,-81.7165,41.92,89,100,9.44,overcast clouds
412,Korla,CN,41.7597,86.1469,19.54,53,100,1.99,overcast clouds
413,Aksu,CN,41.1231,80.2644,20.55,49,100,2.93,overcast clouds
414,Yar-Sale,RU,66.8333,70.8333,6.62,95,100,15.26,light snow
415,San Jeronimo,PE,-11.9472,-75.2829,64.49,52,100,6.29,overcast clouds
416,Aquiraz,BR,-3.9014,-38.3911,82.18,74,94,10.54,overcast clouds
417,Poya,NC,-21.35,165.15,74.95,77,7,0.11,clear sky
418,Avera,US,33.194,-82.5271,74.71,64,88,12.88,overcast clouds
419,Tuatapere,NZ,-46.1333,167.6833,62.62,75,100,2.77,overcast clouds
420,Carutapera,BR,-1.195,-46.02,81.77,75,57,8.03,broken clouds
421,Bokhan,RU,53.153,103.7714,-13.88,100,25,4.36,scattered clouds
422,Samdari,IN,25.8167,72.5833,54.18,30,47,9.37,scattered clouds
423,Prince Rupert,CA,54.3161,-130.3201,39.16,82,100,5.3,overcast clouds
424,Nybro,SE,56.7446,15.9071,29.05,85,8,4.25,clear sky
425,Vestmannaeyjar,IS,63.4427,-20.2734,29.64,74,100,22.19,overcast clouds
426,Tagusao,PH,9.1924,117.8141,75.79,94,100,5.26,moderate rain
427,Calgary,CA,51.0501,-114.0853,33.87,58,99,3.4,overcast clouds
428,Griffith,US,41.5284,-87.4237,61.29,99,100,0.0,light intensity drizzle
429,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,8.05,scattered clouds
430,Manyana,BW,-23.4,21.7167,74.34,60,100,5.91,overcast clouds
431,Rosarito,MX,32.3333,-117.0333,59.49,78,100,13.29,overcast clouds
432,Guozhen,CN,34.3659,107.359,36.72,74,49,2.04,scattered clouds
433,Saint Anthony,US,45.0205,-93.218,28.0,93,100,13.8,heavy snow
434,Mecca,SA,21.4267,39.8261,73.51,83,88,6.76,overcast clouds
435,Gorele,TR,41.0308,39.0031,51.75,52,0,4.83,clear sky
436,Bud,US,39.447,-86.1758,63.36,89,100,15.46,overcast clouds
437,Kolno,PL,53.4115,21.9291,40.44,73,97,13.47,overcast clouds
438,Begunitsy,RU,59.5855,29.3176,26.28,89,100,5.88,overcast clouds
439,Acapulco,MX,16.8634,-99.8901,85.82,58,20,9.22,few clouds
440,Mabaruma,GY,8.2,-59.7833,76.21,88,100,4.76,overcast clouds
441,Mastic Beach,US,40.7668,-72.8521,52.0,96,100,10.36,mist
442,Vila Velha,BR,-20.3297,-40.2925,82.35,74,20,16.11,few clouds
443,Lucea,JM,18.451,-78.1736,82.85,70,12,16.53,few clouds
444,Cernisoara,RO,45.0333,23.9833,45.95,80,8,3.51,clear sky
445,Qui Nhon,VN,13.7667,109.2333,71.85,93,100,18.68,overcast clouds
446,Along,IN,28.1667,94.7667,48.18,72,2,1.92,clear sky
447,Edremit,TR,39.5961,27.0244,37.15,93,0,5.75,clear sky
448,Umarkot,PK,25.3616,69.7362,58.59,24,1,11.16,clear sky
449,Roald,NO,62.5833,6.1333,34.32,64,0,14.97,clear sky
450,Stromness,GB,58.965,-3.296,39.16,78,100,11.43,overcast clouds
451,Jacareacanga,BR,-6.2222,-57.7528,83.55,67,94,0.72,overcast clouds
452,Akdepe,TM,42.0551,59.3788,37.87,78,12,4.5,few clouds
453,Westport,US,41.1415,-73.3579,52.75,92,100,1.01,fog
454,Fayaoue,NC,-20.65,166.5333,80.31,66,19,7.25,few clouds
455,Ginir,ET,7.1333,40.7,58.1,33,7,3.18,clear sky
456,Yibin,CN,28.7667,104.6238,51.04,76,100,1.77,overcast clouds
457,Roma,US,43.2128,-75.4557,42.87,94,100,8.05,moderate rain
458,Sorland,NO,67.667,12.6934,39.06,57,10,15.39,clear sky
459,Formosa,AR,-26.1775,-58.1781,75.96,67,100,1.01,moderate rain
460,Chemax,MX,20.65,-87.9333,86.32,55,95,7.72,overcast clouds
461,Buin,CL,-33.7333,-70.75,91.44,11,0,9.55,clear sky
462,Cuenca,EC,-2.8833,-78.9833,63.66,65,84,4.5,light rain
463,Oskaloosa,US,41.2964,-92.6444,49.33,100,0,5.75,clear sky
464,Det Udom,TH,14.906,105.0784,64.0,83,98,7.4,overcast clouds
465,Nagato,JP,34.3833,131.2,41.58,52,0,13.58,clear sky
466,Lavrentiya,RU,65.5833,-171.0,-10.19,94,100,9.01,overcast clouds
467,La Esperanza,GT,14.8667,-91.5667,71.08,83,78,4.72,light rain
468,Port Hawkesbury,CA,45.6169,-61.3485,34.18,83,100,2.3,overcast clouds
469,San Rafael,AR,-34.6177,-68.3301,84.31,18,0,6.96,clear sky
470,Raga,SS,8.4596,25.678,74.89,31,25,4.0,scattered clouds
471,Bombay,IN,19.0144,72.8479,73.38,73,10,0.0,haze
472,Vysokogornyy,RU,50.1167,139.15,-21.59,99,76,4.85,broken clouds
473,Cockburn Town,TC,21.4612,-71.1419,80.56,57,40,13.8,scattered clouds
474,Wanning,CN,18.8003,110.3967,63.95,89,100,10.56,overcast clouds
475,Dandong,CN,40.1292,124.3947,6.91,87,7,4.59,clear sky
476,Talnakh,RU,69.4865,88.3972,-20.78,98,100,5.3,overcast clouds
477,Bonito,BR,-21.1211,-56.4819,78.98,85,99,7.96,overcast clouds
478,Bograd,RU,54.2344,90.8328,-5.76,97,21,5.19,few clouds
