City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Ordzhonikidze,KZ,2022-12-31 01:09:45,52.4411,61.7408,7.5,96,89,6.69
173,Arteaga,MX,2022-12-31 01:09:46,18.4667,-102.4167,63.95,68,100,1.16
174,Oranjemund,NA,2022-12-31 01:09:47,-28.55,16.4333,63.0,76,0,6.26
175,Hamilton,US,2022-12-31 01:06:19,39.1834,-84.5333,61.65,62,100,9.22
176,Caravelas,BR,2022-12-31 01:09:48,-17.7125,-39.2481,74.57,90,11,5.19
177,Bonfim,BR,2022-12-31 01:09:48,3.0833,-59.95,76.75,81,100,4.76
178,Maldonado,UY,2022-12-31 01:09:48,-34.6667,-54.9167,74.59,63,0,3.91
179,Tripoli,LY,2022-12-31 01:06:09,32.8752,13.1875,60.64,58,0,2.15
180,Taiobeiras,BR,2022-12-31 01:09:49,-15.8078,-42.2331,67.03,89,97,5.23
181,Yeppoon,AU,2022-12-31 01:09:49,-23.1333,150.7333,83.98,71,69,18.41
182,Pacific Grove,US,2022-12-31 01:06:22,36.6177,-121.9166,62.42,94,100,18.01
183,Dmytrivka,UA,2022-12-31 01:09:50,45.9717,28.9864,43.0,78,89,4.43
184,Buchanan,LR,2022-12-31 01:10:50,5.8808,-10.0467,78.01,83,99,1.14
185,Cukai,MY,2022-12-31 01:10:51,4.25,103.4167,74.37,80,100,5.12
186,Praia Da Vitoria,PT,2022-12-31 01:10:52,38.7333,-27.0667,54.75,76,73,30.67
187,Bachaquero,VE,2022-12-31 01:10:52,9.9694,-71.1494,79.05,75,0,5.14
188,Bethel,US,2022-12-31 01:10:53,41.3712,-73.414,47.44,74,0,0.0
189,Sinop,TR,2022-12-31 01:06:58,41.7711,34.8709,41.11,70,70,7.94
190,Grindavik,IS,2022-12-31 01:10:54,63.8424,-22.4338,18.07,53,75,20.71
191,Port Lincoln,AU,2022-12-31 01:11:10,-34.7333,135.8667,67.51,65,6,11.12
192,Teguise,ES,2022-12-31 01:11:11,29.0605,-13.564,62.82,72,0,5.75
193,Tema,GH,2022-12-31 01:11:11,5.667,-0.0166,78.04,71,11,1.1
194,Kavaratti,IN,2022-12-31 01:11:12,10.5669,72.642,80.51,72,2,3.02
195,Libreville,GA,2022-12-31 01:09:22,0.3925,9.4537,79.57,81,100,4.63
196,Port Arthur,CN,2022-12-31 01:11:13,38.8,121.2667,34.02,52,0,19.08
197,Canberra,AU,2022-12-31 01:06:20,-35.2835,149.1281,75.45,61,100,5.75
198,Inirida,CO,2022-12-31 01:08:34,3.8653,-67.9239,77.43,74,90,1.83
199,Kenai,US,2022-12-31 01:11:16,60.5544,-151.2583,26.65,80,0,3.44
200,Manono,CD,2022-12-31 01:11:17,-7.3,27.4167,65.79,97,100,1.54
201,Trairi,BR,2022-12-31 01:08:15,-3.2778,-39.2689,79.57,77,13,12.44
202,Prince Rupert,CA,2022-12-31 01:11:19,54.3161,-130.3201,37.6,86,100,4.52
203,Kirakira,SB,2022-12-31 01:11:20,-10.4544,161.9205,85.53,73,100,10.45
204,Cidreira,BR,2022-12-31 01:07:23,-30.1811,-50.2056,71.51,82,0,15.9
205,Kizukuri,JP,2022-12-31 01:11:21,40.8061,140.3861,36.52,70,73,9.66
206,La Ronge,CA,2022-12-31 01:11:21,55.1001,-105.2842,-2.06,100,90,4.65
207,Houston,US,2022-12-31 01:11:22,29.7633,-95.3633,64.09,84,20,5.75
208,Grajewo,PL,2022-12-31 01:11:23,53.6473,22.4554,37.67,88,100,13.65
209,Chupa,RU,2022-12-31 01:11:24,66.27,33.0549,15.78,94,100,7.47
210,East London,ZA,2022-12-31 01:11:25,-33.0153,27.9116,64.13,79,59,8.55
211,Sao Gabriel Da Cachoeira,BR,2022-12-31 01:11:25,-0.1303,-67.0892,73.49,95,96,1.48
212,Dunedin,NZ,2022-12-31 01:09:15,-45.8742,170.5036,59.81,95,29,10.07
213,Galveston,US,2022-12-31 01:11:28,29.3669,-94.9669,64.18,90,75,3.44
214,Yurimaguas,PE,2022-12-31 01:11:30,-5.9,-76.0833,73.74,92,100,1.34
215,Finnsnes,NO,2022-12-31 01:11:30,69.2296,17.9811,27.21,89,100,8.41
216,Gazanjyk,TM,2022-12-31 01:11:31,39.2446,55.5154,34.45,67,0,10.16
217,Chokurdakh,RU,2022-12-31 01:11:32,70.6333,147.9167,-36.38,100,87,5.17
218,Avarua,CK,2022-12-31 01:11:32,-21.2078,-159.775,84.25,84,75,5.75
219,Sioux Lookout,CA,2022-12-31 01:11:33,50.1001,-91.917,-4.79,100,75,3.11
220,Victoria,HK,2022-12-31 01:10:20,22.2855,114.1577,59.25,70,8,15.01
221,Kande,TG,2022-12-31 01:11:34,9.9578,1.0447,67.62,15,11,5.01
222,Havre-Saint-Pierre,CA,2022-12-31 01:11:34,50.2334,-63.5986,32.02,97,100,8.12
223,Narsaq,GL,2022-12-31 01:11:34,60.9167,-46.05,1.62,68,0,6.85
224,Kahului,US,2022-12-31 01:11:35,20.8947,-156.47,78.82,72,40,17.27
225,Bukachacha,RU,2022-12-31 01:11:35,52.9833,116.9167,-12.78,91,14,4.18
226,Parintins,BR,2022-12-31 01:11:35,-2.6283,-56.7358,74.41,95,100,1.92
227,Saskylakh,RU,2022-12-31 01:11:36,71.9167,114.0833,0.63,95,100,28.03
228,Ambon,ID,2022-12-31 01:12:37,-3.6954,128.1814,77.14,94,40,8.05
229,Norman Wells,CA,2022-12-31 01:12:37,65.282,-126.8329,-14.51,98,77,3.87
230,Muros,ES,2022-12-31 01:12:37,42.7762,-9.0603,62.15,84,100,32.03
231,Kodiak,US,2022-12-31 01:12:37,57.79,-152.4072,36.91,93,100,20.71
232,Merauke,ID,2022-12-31 01:12:39,-8.4667,140.3333,80.53,80,100,10.16
233,Pangnirtung,CA,2022-12-31 01:11:27,66.1451,-65.7125,-13.9,87,100,2.53
234,Mayumba,GA,2022-12-31 01:12:40,-3.432,10.6554,77.07,90,100,4.0
235,Copiapo,CL,2022-12-31 01:08:09,-27.3667,-70.3333,58.69,60,0,5.06
236,Gumdag,TM,2022-12-31 01:12:41,39.2061,54.5906,35.62,62,0,15.37
237,Srednekolymsk,RU,2022-12-31 01:12:41,67.45,153.6833,-40.59,100,100,0.29
238,Mahebourg,MU,2022-12-31 01:12:41,-20.4081,57.7,75.43,72,1,1.14
239,Salalah,OM,2022-12-31 01:12:42,17.0151,54.0924,73.49,35,0,21.85
240,Port Elizabeth,ZA,2022-12-31 01:12:42,-33.918,25.5701,64.31,85,36,1.99
241,Margate,GB,2022-12-31 01:12:43,51.3813,1.3862,52.88,90,100,4.0
242,Fare,PF,2022-12-31 01:12:43,-16.7,-151.0167,80.6,73,23,9.53
243,Samarai,PG,2022-12-31 01:12:43,-10.6167,150.6667,82.87,74,100,10.4
244,Fort Nelson,CA,2022-12-31 01:12:43,58.8053,-122.7002,-4.05,86,100,0.83
245,Nikolskoye,RU,2022-12-31 01:12:44,59.7035,30.7861,37.29,99,100,5.93
246,Luderitz,NA,2022-12-31 01:12:44,-26.6481,15.1594,69.66,52,0,10.27
247,Karangampel,ID,2022-12-31 01:12:45,-6.4622,108.4519,79.95,79,44,16.64
248,Vigrestad,NO,2022-12-31 01:12:45,58.5667,5.7,46.58,79,80,31.07
249,Korem,ET,2022-12-31 01:12:46,12.5058,39.5228,48.79,94,83,3.78
250,Frederico Westphalen,BR,2022-12-31 01:08:47,-27.3592,-53.3944,65.7,42,0,2.75
251,Olga,RU,2022-12-31 01:12:46,43.7444,135.2892,18.52,62,0,5.08
252,Hirara,JP,2022-12-31 01:12:47,24.8,125.2833,69.53,76,100,30.02
253,Big Rapids,US,2022-12-31 01:12:48,43.6981,-85.4837,39.27,85,100,4.61
254,Nuuk,GL,2022-12-31 01:08:31,64.1835,-51.7216,0.81,86,7,9.06
255,Bara,NG,2022-12-31 01:12:48,10.3744,10.7288,58.57,34,5,7.65
256,Atar,MR,2022-12-31 01:12:48,20.5169,-13.0499,64.85,72,19,4.05
257,Tromso,NO,2022-12-31 01:12:49,69.6496,18.957,30.22,64,100,16.11
258,Porto San Giorgio,IT,2022-12-31 01:12:50,43.1827,13.7934,57.99,75,95,2.39
259,Fortuna,US,2022-12-31 01:12:52,40.5982,-124.1573,59.94,94,100,8.05
260,Radford,US,2022-12-31 01:12:52,37.1318,-80.5764,54.61,94,100,0.0
261,Coahuayana,MX,2022-12-31 01:12:52,18.7333,-103.6833,73.65,71,100,2.19
262,Moisei,RO,2022-12-31 01:12:53,47.6556,24.5401,39.74,99,100,2.06
263,Labuan,MY,2022-12-31 01:12:53,5.2767,115.2417,80.2,76,100,9.33
264,Faya,SA,2022-12-31 01:12:53,18.3851,42.4509,41.52,74,13,3.98
265,Ancud,CL,2022-12-31 01:12:54,-41.8697,-73.8203,54.61,91,71,7.38
266,Alofi,NU,2022-12-31 01:12:54,-19.0595,-169.9187,82.29,78,75,9.22
267,Ponta Delgada,PT,2022-12-31 01:12:55,37.7333,-25.6667,57.92,77,20,28.77
268,Peniche,PT,2022-12-31 01:12:55,39.3558,-9.3811,61.29,83,100,21.63
269,Viedma,AR,2022-12-31 01:07:59,-40.8135,-62.9967,66.56,41,42,9.95
270,Huangpi,CN,2022-12-31 01:12:56,30.8845,114.3779,42.6,48,11,3.49
271,Severo-Kurilsk,RU,2022-12-31 01:12:57,50.6789,156.125,25.39,79,81,19.28
272,Puerto Escondido,MX,2022-12-31 01:12:57,15.85,-97.0667,78.12,74,99,6.26
273,Yulara,AU,2022-12-31 01:12:57,-25.2406,130.9889,92.61,27,87,16.62
274,Zhuhai,CN,2022-12-31 01:12:59,22.2769,113.5678,55.18,76,0,25.32
275,Katsuura,JP,2022-12-31 01:12:59,35.1333,140.3,48.04,53,100,4.94
276,Ukiah,US,2022-12-31 01:09:25,39.1502,-123.2078,62.49,90,100,10.36
277,Nioro,GM,2022-12-31 01:14:01,13.35,-15.75,75.2,42,42,5.95
278,Moyale,KE,2022-12-31 01:14:02,3.5167,39.0584,66.31,50,79,8.99
279,Cabedelo,BR,2022-12-31 01:14:03,-6.9811,-34.8339,79.47,78,99,15.14
280,Mount Gambier,AU,2022-12-31 01:14:03,-37.8333,140.7667,73.78,49,11,5.23
281,Ilhabela,BR,2022-12-31 01:14:03,-23.7781,-45.3581,72.99,93,77,7.54
282,Kapoeta,SS,2022-12-31 01:14:05,4.7717,33.5903,79.88,35,85,11.72
283,Siguiri,GN,2022-12-31 01:14:05,11.6667,-9.5,75.15,17,100,4.88
284,Constantine,DZ,2022-12-31 01:10:44,36.365,6.6147,38.61,75,0,3.44
285,Balkhash,KZ,2022-12-31 01:14:07,46.844,74.9804,16.16,99,100,5.41
286,Visby,SE,2022-12-31 01:14:08,57.6409,18.296,43.83,87,40,20.71
